Configuration,Rule Source,Sarif Identifier,Alerts
/language:python,codeql/python-queries (1.8.2+6a95251206538e6a7a9c9dc41feb78ce77bdda78),py/asserts-tuple,0
/language:python,codeql/python-queries (1.8.2+6a95251206538e6a7a9c9dc41feb78ce77bdda78),py/attribute-shadows-method,0
/language:python,codeql/python-queries (1.8.2+6a95251206538e6a7a9c9dc41feb78ce77bdda78),py/bad-tag-filter,0
/language:python,codeql/python-queries (1.8.2+6a95251206538e6a7a9c9dc41feb78ce77bdda78),py/bind-socket-all-network-interfaces,0
/language:python,codeql/python-queries (1.8.2+6a95251206538e6a7a9c9dc41feb78ce77bdda78),py/call-to-non-callable,0
/language:python,codeql/python-queries (1.8.2+6a95251206538e6a7a9c9dc41feb78ce77bdda78),py/call/wrong-arguments,0
/language:python,codeql/python-queries (1.8.2+6a95251206538e6a7a9c9dc41feb78ce77bdda78),py/call/wrong-named-argument,0
/language:python,codeql/python-queries (1.8.2+6a95251206538e6a7a9c9dc41feb78ce77bdda78),py/call/wrong-named-class-argument,0
/language:python,codeql/python-queries (1.8.2+6a95251206538e6a7a9c9dc41feb78ce77bdda78),py/call/wrong-number-class-arguments,0
/language:python,codeql/python-queries (1.8.2+6a95251206538e6a7a9c9dc41feb78ce77bdda78),py/catch-base-exception,0
/language:python,codeql/python-queries (1.8.2+6a95251206538e6a7a9c9dc41feb78ce77bdda78),py/clear-text-logging-sensitive-data,1
/language:python,codeql/python-queries (1.8.2+6a95251206538e6a7a9c9dc41feb78ce77bdda78),py/clear-text-storage-sensitive-data,0
/language:python,codeql/python-queries (1.8.2+6a95251206538e6a7a9c9dc41feb78ce77bdda78),py/client-exposed-cookie,0
/language:python,codeql/python-queries (1.8.2+6a95251206538e6a7a9c9dc41feb78ce77bdda78),py/code-injection,0
/language:python,codeql/python-queries (1.8.2+6a95251206538e6a7a9c9dc41feb78ce77bdda78),py/command-line-injection,0
/language:python,codeql/python-queries (1.8.2+6a95251206538e6a7a9c9dc41feb78ce77bdda78),py/commented-out-code,0
/language:python,codeql/python-queries (1.8.2+6a95251206538e6a7a9c9dc41feb78ce77bdda78),py/comparison-missing-self,0
/language:python,codeql/python-queries (1.8.2+6a95251206538e6a7a9c9dc41feb78ce77bdda78),py/comparison-of-constants,0
/language:python,codeql/python-queries (1.8.2+6a95251206538e6a7a9c9dc41feb78ce77bdda78),py/comparison-of-identical-expressions,0
/language:python,codeql/python-queries (1.8.2+6a95251206538e6a7a9c9dc41feb78ce77bdda78),py/comparison-using-is,0
/language:python,codeql/python-queries (1.8.2+6a95251206538e6a7a9c9dc41feb78ce77bdda78),py/conflicting-attributes,0
